kategori_produk,review,family_template,jenis_produk,merek,warna,material,bentuk_kemasan,log_harga,is_non_brand,berat_kg,tebal_mm,jumlah_lembar,ukuran_cm,panjang_meter,yard,box_panjang_cm,box_lebar_cm,box_tinggi_cm,log_volume_box_cm3,lebar_cm_roll,panjang_meter_roll,lebar_pair_yard,panjang_yard_pair,is_bflute,is_cflute,is_foam,is_kraft,jumlah_dimensi_x,panjang_nama,jumlah_token,nama_produk_normalized,split_grouped,has_box_dimension,has_roll_dimension,has_yard_dimension
Perlengkapan Rumah,3.0,laundry_pp,plastik,lainnya,lainnya,pp,lainnya,8.648396877031582,0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,40,9,kantong plastik laundry pp 30 cm x 50 cm,train,0,0,0
Kardus Kemasan,3.5,kardus,kardus,lainnya,lainnya,cflute,lainnya,8.131824785007195,0,0.0,0.0,0.0,34.0,0.0,0.0,34.0,30.0,9.0,9.1248914101437,0.0,0.0,0.0,0.0,0,1,0,0,2,42,11,kardus packing 34 cm x 30 cm x 9 cm cflute,train,1,0,0
Pelindung Kemasan,4.0,bubble_wrap,bubble wrap,smilepack,bening,lainnya,lainnya,11.456365695436428,0,3.0,0.0,0.0,125.0,50.0,0.0,0.0,0.0,0.0,0.0,125.0,50.0,0.0,0.0,0,0,0,0,1,52,10,bubble wrap smilepack bening 3.0kg 125 cm x 50 meter,train,0,1,0
Alat Pengemasan,3.0,tools,cutter,deli,lainnya,lainnya,lainnya,9.711176264112805,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,22,4,cutter besar deli l150,train,0,0,0
Kardus Kemasan,3.0,kardus,kardus,lainnya,lainnya,bflute,lainnya,8.45553053102413,0,0.0,0.0,0.0,26.0,0.0,0.0,26.0,20.0,21.0,9.298442820197728,0.0,0.0,0.0,0.0,1,0,0,0,2,43,11,kardus packing 26 cm x 20 cm x 21 cm bflute,train,1,0,0
Pelindung Kemasan,4.0,bubble_wrap,bubble wrap,gmp,bening,lainnya,lainnya,11.542493975902508,0,3.2,0.0,0.0,30.0,100.0,0.0,0.0,0.0,0.0,0.0,30.0,100.0,0.0,0.0,0,0,0,0,1,46,10,bubble wrap gmp bening 3.2kg 30 cm x 100 meter,train,0,1,0
Perlengkapan Rumah,3.5,laundry_pp,plastik,lainnya,lainnya,pp,lainnya,8.77971129020447,0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,40,9,kantong plastik laundry pp 35 cm x 55 cm,train,0,0,0
Perekat,3.5,double_tape,pe foam,deli,lainnya,foam,lainnya,10.389026137075234,0,0.0,12.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,38,9,double tape foam deli 12 mm x 15 meter,train,0,0,0
Perekat,4.0,lakban,lakban,smilepack,bening,lainnya,lainnya,9.093918908958932,0,0.0,48.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,65.0,0,0,0,0,1,47,9,lakban fragile bening smilepack 48 mm x 65 yard,train,0,0,1
Perekat,3.5,lakban,lakban,deli,biru,lainnya,lainnya,9.259225769705994,0,0.0,45.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,90.0,0,0,0,0,1,32,8,lakban deli biru 45 mm x 90 yard,train,0,0,1
Kemasan Pengiriman,3.0,polymailer,plastik,lainnya,putih,lainnya,lainnya,9.39274525863144,0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,38,8,plastik polymailer putih 30 cm x 40 cm,train,0,0,0
Perlengkapan Rumah,3.0,trash_bag,plastik,lainnya,hitam,lainnya,lainnya,8.366602832783736,0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,34,8,plastik kresek hitam 20 cm x 40 cm,train,0,0,0
Perlengkapan Rumah,2.5,laundry_pp,plastik,lainnya,lainnya,pp,lainnya,9.928228944424577,0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,40,9,kantong plastik laundry pp 60 cm x 90 cm,train,0,0,0
Perekat,3.5,double_tape,pe foam,non brand,lainnya,foam,lainnya,9.741027444837728,1,0.0,24.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,42,10,double tape foam non brand 24 mm x 3 meter,train,0,0,0
Pelindung Kemasan,4.0,bubble_wrap,bubble wrap,sanpack,hitam,lainnya,lainnya,11.026808713825016,0,2.2,0.0,0.0,60.0,25.0,0.0,0.0,0.0,0.0,0.0,60.0,25.0,0.0,0.0,0,0,0,0,1,48,10,bubble wrap sanpack hitam 2.2kg 60 cm x 25 meter,train,0,1,0
Pelindung Kemasan,4.0,bubble_wrap,bubble wrap,upack,hitam,lainnya,lainnya,11.258046118484,0,2.4,0.0,0.0,125.0,25.0,0.0,0.0,0.0,0.0,0.0,125.0,25.0,0.0,0.0,0,0,0,0,1,47,10,bubble wrap upack hitam 2.4kg 125 cm x 25 meter,train,0,1,0
Perlengkapan Rumah,4.0,laundry_pp,plastik,lainnya,lainnya,pp,lainnya,9.433563920090563,0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,40,9,kantong plastik laundry pp 40 cm x 60 cm,train,0,0,0
Label,3.0,label_thermal,thermal,lainnya,lainnya,thermal,lembar,10.106469212026385,0,0.0,100.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,42,9,sticker thermal 100 mm x 100 mm 300 lembar,train,0,0,0
Material Busa,3.5,pe_foam,pe foam,lainnya,lainnya,foam,lainnya,12.278397958261774,0,0.0,1.0,0.0,125.0,250.0,0.0,0.0,0.0,0.0,0.0,125.0,250.0,0.0,0.0,0,0,1,0,2,33,10,pe foam 125 cm x 250 meter x 1 mm,train,0,1,0
Perekat,4.0,lakban,lakban,deli,biru,lainnya,lainnya,8.962007209588313,0,0.0,45.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,85.0,0,0,0,0,1,32,8,lakban deli biru 45 mm x 85 yard,train,0,0,1
Perlengkapan Rumah,3.5,trash_bag,plastik,lainnya,hitam,lainnya,lainnya,7.824445930877619,0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,34,8,plastik kresek hitam 20 cm x 40 cm,train,0,0,0
Pelindung Kemasan,4.5,bubble_wrap,bubble wrap,upack,hitam,lainnya,lainnya,11.283524879179666,0,2.7,0.0,0.0,125.0,25.0,0.0,0.0,0.0,0.0,0.0,125.0,25.0,0.0,0.0,0,0,0,0,1,47,10,bubble wrap upack hitam 2.7kg 125 cm x 25 meter,train,0,1,0
Kemasan Pengiriman,3.5,polymailer,plastik,lainnya,silver,lainnya,lainnya,9.39274525863144,0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,39,8,plastik polymailer silver 30 cm x 40 cm,train,0,0,0
Perlengkapan Rumah,2.5,laundry_pp,plastik,lainnya,lainnya,pp,lainnya,9.798182590890704,0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,40,9,kantong plastik laundry pp 50 cm x 75 cm,train,0,0,0
Perlengkapan Rumah,4.0,laundry_pp,plastik,lainnya,lainnya,pp,lainnya,9.546884034617923,0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,40,9,kantong plastik laundry pp 50 cm x 75 cm,train,0,0,0
Pelindung Kemasan,4.0,bubble_wrap,bubble wrap,gmp,bening,lainnya,lainnya,11.580593459194764,0,3.2,0.0,0.0,30.0,100.0,0.0,0.0,0.0,0.0,0.0,30.0,100.0,0.0,0.0,0,0,0,0,1,46,10,bubble wrap gmp bening 3.2kg 30 cm x 100 meter,train,0,1,0
Pelindung Kemasan,4.0,bubble_wrap,bubble wrap,upack,bening,lainnya,lainnya,11.440365524765756,0,2.2,0.0,0.0,30.0,100.0,0.0,0.0,0.0,0.0,0.0,30.0,100.0,0.0,0.0,0,0,0,0,1,48,10,bubble wrap upack bening 2.2kg 30 cm x 100 meter,train,0,1,0
Kardus Kemasan,3.5,kardus,kardus,lainnya,lainnya,bflute,lainnya,8.412054873292933,0,0.0,0.0,0.0,65.0,0.0,0.0,65.0,35.0,30.0,11.13094736495452,0.0,0.0,0.0,0.0,1,0,0,0,2,43,11,kardus packing 65 cm x 35 cm x 30 cm bflute,train,1,0,0
Perekat,3.0,double_tape,pe foam,non brand,lainnya,foam,lainnya,9.61587214452889,1,0.0,12.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,42,10,double tape foam non brand 12 mm x 5 meter,train,0,0,0
Label,3.5,label_thermal,thermal,lainnya,lainnya,thermal,lembar,10.357774570341576,0,0.0,100.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,45,10,thermal unboxing 100 mm x 100 mm x 300 lembar,train,0,0,0
Kemasan Fleksibel,4.0,wrapping,wrapping,lainnya,bening,lainnya,lainnya,9.39274525863144,0,0.0,0.0,0.0,10.0,270.0,0.0,0.0,0.0,0.0,0.0,10.0,270.0,0.0,0.0,0,0,0,0,1,33,7,wrapping bening 10 cm x 270 meter,train,0,1,0
Label,3.5,label_thermal,thermal,lainnya,lainnya,thermal,lembar,10.165890277802454,0,0.0,80.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,43,10,thermal unboxing 80 mm x 80 mm x 500 lembar,train,0,0,0
Pelindung Kemasan,3.5,bubble_wrap,bubble wrap,sanpack,hitam,lainnya,lainnya,11.218567827096358,0,3.0,0.0,0.0,60.0,25.0,0.0,0.0,0.0,0.0,0.0,60.0,25.0,0.0,0.0,0,0,0,0,1,48,10,bubble wrap sanpack hitam 3.0kg 60 cm x 25 meter,train,0,1,0
Kardus Kemasan,4.0,kardus,kardus,lainnya,lainnya,bflute,lainnya,7.824445930877619,0,0.0,0.0,0.0,26.0,0.0,0.0,26.0,20.0,21.0,9.298442820197728,0.0,0.0,0.0,0.0,1,0,0,0,2,43,11,kardus packing 26 cm x 20 cm x 21 cm bflute,train,1,0,0
Kemasan Pengiriman,3.5,polymailer,plastik,lainnya,putih,lainnya,lainnya,9.39274525863144,0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,38,8,plastik polymailer putih 25 cm x 35 cm,train,0,0,0
Peralatan Industri,3.0,plastik_hdpe,plastik hd,lainnya,lainnya,hd,lainnya,9.15915233520675,0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,24,7,plastik hd 45 cm x 50 cm,train,0,0,0
Perekat,3.5,lakban,lakban,sanpack,merah,lainnya,lainnya,8.839421607620602,0,0.0,45.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,50.0,0,0,0,0,1,36,8,lakban sanpack merah 45 mm x 50 yard,train,0,0,1
Label,3.5,label_thermal,thermal,lainnya,lainnya,thermal,lembar,10.66897865021924,0,0.0,100.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,45,10,thermal unboxing 100 mm x 150 mm x 500 lembar,train,0,0,0
Pelindung Kemasan,4.0,bubble_wrap,bubble wrap,gmp,hitam,lainnya,lainnya,11.205054290550551,0,2.7,0.0,0.0,60.0,25.0,0.0,0.0,0.0,0.0,0.0,60.0,25.0,0.0,0.0,0,0,0,0,1,44,10,bubble wrap gmp hitam 2.7kg 60 cm x 25 meter,train,0,1,0
Perlengkapan Rumah,3.0,laundry_pp,plastik,lainnya,lainnya,pp,lainnya,9.433563920090563,0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,40,9,kantong plastik laundry pp 45 cm x 65 cm,train,0,0,0
Perlengkapan Rumah,3.5,laundry_pp,plastik,lainnya,lainnya,pp,lainnya,9.472781556562168,0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,40,9,kantong plastik laundry pp 45 cm x 65 cm,train,0,0,0
Kemasan Fleksibel,4.5,wrapping,wrapping,lainnya,bening,lainnya,lainnya,9.90353755128617,0,0.0,0.0,0.0,30.0,175.0,0.0,0.0,0.0,0.0,0.0,30.0,175.0,0.0,0.0,0,0,0,0,1,33,7,wrapping bening 30 cm x 175 meter,train,0,1,0
Pelindung Kemasan,4.0,bubble_wrap,bubble wrap,global,hitam,lainnya,lainnya,11.599112335481124,0,3.0,0.0,0.0,30.0,100.0,0.0,0.0,0.0,0.0,0.0,30.0,100.0,0.0,0.0,0,0,0,0,1,48,10,bubble wrap global hitam 3.0kg 30 cm x 100 meter,train,0,1,0
Pengikat,4.0,tali_rafia,lainnya,lainnya,hijau,lainnya,lainnya,9.581972891547895,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,20,4,tali rafia hijau 1kg,train,0,0,0
Perekat,3.5,lakban,lakban,sanpack,putih,lainnya,lainnya,9.210440366976515,0,0.0,45.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,90.0,0,0,0,0,1,36,8,lakban sanpack putih 45 mm x 90 yard,train,0,0,1
Kemasan Pengiriman,4.0,polymailer,plastik,lainnya,silver,lainnya,lainnya,9.61587214452889,0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,39,8,plastik polymailer silver 45 cm x 60 cm,train,0,0,0
Perekat,3.5,lakban,lakban,joyko,biru,lainnya,lainnya,9.15915233520675,0,0.0,48.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,80.0,0,0,0,0,1,33,8,lakban joyko biru 48 mm x 80 yard,train,0,0,1
Material Busa,4.0,pe_foam,pe foam,lainnya,lainnya,foam,lainnya,13.015893357585442,0,0.0,5.0,0.0,125.0,250.0,0.0,0.0,0.0,0.0,0.0,125.0,250.0,0.0,0.0,0,0,1,0,2,33,10,pe foam 125 cm x 250 meter x 5 mm,train,0,1,0
Material Busa,4.5,pe_foam,pe foam,lainnya,lainnya,foam,lainnya,12.933623668263472,0,0.0,4.0,0.0,125.0,250.0,0.0,0.0,0.0,0.0,0.0,125.0,250.0,0.0,0.0,0,0,1,0,2,33,10,pe foam 125 cm x 250 meter x 4 mm,train,0,1,0
Material Busa,4.5,pe_foam,pe foam,lainnya,lainnya,foam,lainnya,12.757082940769225,0,0.0,3.0,0.0,125.0,250.0,0.0,0.0,0.0,0.0,0.0,125.0,250.0,0.0,0.0,0,0,1,0,2,33,10,pe foam 125 cm x 250 meter x 3 mm,train,0,1,0
Perekat,3.5,lakban,lakban,hiro,putih,lainnya,lainnya,9.012011377036412,0,0.0,45.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,80.0,0,0,0,0,1,33,8,lakban hiro putih 45 mm x 80 yard,train,0,0,1
Perlengkapan Rumah,3.5,laundry_pp,plastik,lainnya,lainnya,pp,lainnya,9.259225769705994,0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,40,9,kantong plastik laundry pp 30 cm x 50 cm,train,0,0,0
Pelindung Kemasan,4.0,bubble_wrap,bubble wrap,global,hitam,lainnya,lainnya,11.089820688682371,0,2.4,0.0,0.0,30.0,50.0,0.0,0.0,0.0,0.0,0.0,30.0,50.0,0.0,0.0,0,0,0,0,1,47,10,bubble wrap global hitam 2.4kg 30 cm x 50 meter,train,0,1,0
Pelindung Kemasan,3.5,bubble_wrap,bubble wrap,global,hitam,lainnya,lainnya,11.344518647594766,0,2.2,0.0,0.0,125.0,50.0,0.0,0.0,0.0,0.0,0.0,125.0,50.0,0.0,0.0,0,0,0,0,1,48,10,bubble wrap global hitam 2.2kg 125 cm x 50 meter,train,0,1,0
Pengikat,2.5,tali_rafia,lainnya,lainnya,hijau,lainnya,lainnya,13.603555432133808,0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,21,4,tali rafia hijau 50kg,train,0,0,0
Perekat,4.5,lakban,lakban,joyko,merah,lainnya,lainnya,9.35018926709258,0,0.0,48.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,90.0,0,0,0,0,1,43,9,lakban unboxing merah joyko 48 mm x 90 yard,train,0,0,1
Label,4.0,label_thermal,thermal,lainnya,lainnya,thermal,lembar,10.292179440058462,0,0.0,80.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,46,10,sticker thermal lipat 80 mm x 80 mm 500 lembar,train,0,0,0
Material Busa,3.5,pe_foam,pe foam,lainnya,lainnya,foam,lainnya,12.881567435377423,0,0.0,4.0,0.0,125.0,250.0,0.0,0.0,0.0,0.0,0.0,125.0,250.0,0.0,0.0,0,0,1,0,2,33,10,pe foam 125 cm x 250 meter x 4 mm,train,0,1,0
Label,4.0,label_thermal,thermal,lainnya,lainnya,thermal,lembar,10.308985993422082,0,0.0,80.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,46,10,sticker thermal lipat 80 mm x 80 mm 500 lembar,train,0,0,0
Perekat,3.5,lakban,lakban,deli,putih,lainnya,lainnya,9.210440366976515,0,0.0,48.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,85.0,0,0,0,0,1,41,9,lakban fragile putih deli 48 mm x 85 yard,train,0,0,1
Pengikat,2.5,tali_rafia,lainnya,lainnya,hitam,lainnya,lainnya,9.852246888342531,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,22,4,tali rafia hitam 1/2kg,train,0,0,0
Kemasan Fleksibel,3.5,wrapping,wrapping,lainnya,hitam,lainnya,lainnya,10.545367754151744,0,0.0,0.0,0.0,25.0,300.0,0.0,0.0,0.0,0.0,0.0,25.0,300.0,0.0,0.0,0,0,0,0,1,32,7,wrapping hitam 25 cm x 300 meter,train,0,1,0
Perekat,3.5,lakban,lakban,smilepack,coklat,lainnya,lainnya,8.974744612722734,0,0.0,45.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,65.0,0,0,0,0,1,47,9,lakban fragile coklat smilepack 45 mm x 65 yard,train,0,0,1
Perekat,3.5,lakban,lakban,joyko,putih,lainnya,lainnya,8.999742789830492,0,0.0,45.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,85.0,0,0,0,0,1,34,8,lakban joyko putih 45 mm x 85 yard,train,0,0,1
Kardus Kemasan,3.5,kardus,kardus,lainnya,lainnya,cflute,lainnya,8.648396877031582,0,0.0,0.0,0.0,40.0,0.0,0.0,40.0,30.0,20.0,10.085850775128716,0.0,0.0,0.0,0.0,0,1,0,0,2,43,11,kardus packing 40 cm x 30 cm x 20 cm cflute,train,1,0,0
Pelindung Kemasan,4.0,bubble_wrap,bubble wrap,sanpack,bening,lainnya,lainnya,11.251573687764475,0,3.0,0.0,0.0,30.0,25.0,0.0,0.0,0.0,0.0,0.0,30.0,25.0,0.0,0.0,0,0,0,0,1,49,10,bubble wrap sanpack bening 3.0kg 30 cm x 25 meter,train,0,1,0
Perekat,4.0,lakban,lakban,smilepack,merah,lainnya,lainnya,9.082620630373812,0,0.0,45.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,85.0,0,0,0,0,1,38,8,lakban smilepack merah 45 mm x 85 yard,train,0,0,1
Pelindung Kemasan,3.0,bubble_wrap,bubble wrap,smilepack,hitam,lainnya,lainnya,11.356283350762888,0,3.0,0.0,0.0,30.0,50.0,0.0,0.0,0.0,0.0,0.0,30.0,50.0,0.0,0.0,0,0,0,0,1,50,10,bubble wrap smilepack hitam 3.0kg 30 cm x 50 meter,train,0,1,0
