nama_produk_normalized,review_mean,review_std,review_count,review_min,review_max,log_harga_mean,log_harga_median,berat_kg_mean,berat_kg_median,tebal_mm_mean,tebal_mm_median,jumlah_lembar_mean,jumlah_lembar_median,ukuran_cm_mean,ukuran_cm_median,panjang_meter_mean,panjang_meter_median,yard_mean,yard_median,box_panjang_cm_mean,box_panjang_cm_median,box_lebar_cm_mean,box_lebar_cm_median,box_tinggi_cm_mean,box_tinggi_cm_median,log_volume_box_cm3_mean,log_volume_box_cm3_median,lebar_cm_roll_mean,lebar_cm_roll_median,panjang_meter_roll_mean,panjang_meter_roll_median,lebar_pair_yard_mean,lebar_pair_yard_median,panjang_yard_pair_mean,panjang_yard_pair_median,jumlah_dimensi_x_mean,jumlah_dimensi_x_median,panjang_nama_mean,panjang_nama_median,jumlah_token_mean,jumlah_token_median,kategori_produk,jenis_produk,merek,warna,material,bentuk_kemasan,family_template,few_reviews_flag
bubble wrap global hitam 2.4kg 30cm x 25 meter,3.5,0.0,1,3.5,3.5,10.820656,10.820656,2.52,2.52,0.0,0.0,0.0,0.0,31.47,31.47,25.19,25.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.53,31.53,24.42,24.42,0.0,0.0,0.0,0.0,1.0,1.0,46.0,46.0,9.0,9.0,Pelindung Kemasan,bubble wrap,global,hitam,lainnya,lainnya,bubble_wrap,1
bubble wrap global hitam 2.4kg 60 cm x 100 meter,3.5,0.0,2,3.5,3.5,11.458247762382879,11.458247762382879,2.3040000000000003,2.3040000000000003,0.0,0.0,0.0,0.0,61.97,61.97,97.16499999999999,97.16499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.9,61.9,97.465,97.465,0.0,0.0,0.0,0.0,1.0,1.0,48.0,48.0,10.0,10.0,Pelindung Kemasan,bubble wrap,global,hitam,lainnya,lainnya,bubble_wrap,1
bubble wrap global hitam 2.4kg 60 cm x 25 meter,4.0,0.0,2,4.0,4.0,11.118386503269825,11.118386503269825,2.3415,2.3415,0.0,0.0,0.0,0.0,60.81,60.81,24.585,24.585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.4,59.4,24.235,24.235,0.0,0.0,0.0,0.0,1.0,1.0,47.0,47.0,10.0,10.0,Pelindung Kemasan,bubble wrap,global,hitam,lainnya,lainnya,bubble_wrap,1
bubble wrap global hitam 2.4kg 60cm x 25 meter,4.0,0.0,1,4.0,4.0,11.044151,11.044151,2.63,2.63,0.0,0.0,0.0,0.0,64.38,64.38,23.04,23.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.03,62.03,25.41,25.41,0.0,0.0,0.0,0.0,1.0,1.0,46.0,46.0,9.0,9.0,Pelindung Kemasan,bubble wrap,global,hitam,lainnya,lainnya,bubble_wrap,1
bubble wrap global hitam 2.7kg 125 cm x 25 meter,3.5,0.0,1,3.5,3.5,11.42410518016564,11.42410518016564,2.7,2.7,0.0,0.0,0.0,0.0,125.0,125.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,125.0,25.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,48.0,48.0,10.0,10.0,Pelindung Kemasan,bubble wrap,global,hitam,lainnya,lainnya,bubble_wrap,1
bubble wrap global hitam 2.7kg 125 cm x 50 meter,4.214285714285714,0.48795003647426677,7,3.5,4.5,11.439852631768627,11.461642696843066,2.673142857142857,2.7,0.0,0.0,0.0,0.0,126.13285714285713,125.0,49.949999999999996,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.34714285714287,125.0,49.27428571428572,48.9,0.0,0.0,0.0,0.0,1.0,1.0,48.0,48.0,10.0,10.0,Pelindung Kemasan,bubble wrap,global,hitam,lainnya,lainnya,bubble_wrap,0
bubble wrap global hitam 2.7kg 30 cm x 25 meter,3.5,0.0,1,3.5,3.5,11.156264806643742,11.156264806643742,2.7,2.7,0.0,0.0,0.0,0.0,30.0,30.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,25.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,47.0,47.0,10.0,10.0,Pelindung Kemasan,bubble wrap,global,hitam,lainnya,lainnya,bubble_wrap,1
bubble wrap global hitam 2.7kg 60 cm x 100 meter,3.8,0.273861278752583,5,3.5,4.0,11.482932775386024,11.465825,2.7372,2.7,0.0,0.0,0.0,0.0,60.21,60.0,99.22200000000001,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.946000000000005,60.0,101.336,100.0,0.0,0.0,0.0,0.0,1.0,1.0,48.0,48.0,10.0,10.0,Pelindung Kemasan,bubble wrap,global,hitam,lainnya,lainnya,bubble_wrap,0
bubble wrap global hitam 2.7kg 60 cm x 25 meter,3.5,0.0,4,3.5,3.5,11.260565219794916,11.273670439589832,2.7815,2.776,0.0,0.0,0.0,0.0,59.025,59.875,24.7125,24.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.635,60.525,25.575,25.450000000000003,0.0,0.0,0.0,0.0,1.0,1.0,47.0,47.0,10.0,10.0,Pelindung Kemasan,bubble wrap,global,hitam,lainnya,lainnya,bubble_wrap,0
bubble wrap global hitam 3.0kg 30 cm x 100 meter,4.0,0.0,5,4.0,4.0,11.640694067096225,11.643114,2.9246,2.996,0.0,0.0,0.0,0.0,30.04,30.15,99.474,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.810000000000002,30.0,102.228,100.58,0.0,0.0,0.0,0.0,1.0,1.0,48.0,48.0,10.0,10.0,Pelindung Kemasan,bubble wrap,global,hitam,lainnya,lainnya,bubble_wrap,0
bubble wrap global hitam 3.0kg 30 cm x 50 meter,4.0,0.0,6,4.0,4.0,11.285550120215662,11.283387000000001,2.9730000000000003,3.025,0.0,0.0,0.0,0.0,29.59166666666667,29.67,50.336666666666666,50.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.415000000000003,30.22,49.02333333333333,48.725,0.0,0.0,0.0,0.0,1.0,1.0,47.0,47.0,10.0,10.0,Pelindung Kemasan,bubble wrap,global,hitam,lainnya,lainnya,bubble_wrap,0
bubble wrap global hitam 3.0kg 30 cmx50 meter,4.0,0.0,2,4.0,4.0,11.3411695,11.3411695,3.0084999999999997,3.0084999999999997,0.0,0.0,0.0,0.0,30.895000000000003,30.895000000000003,49.045,49.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.729999999999997,29.729999999999997,47.175,47.175,0.0,0.0,0.0,0.0,1.0,1.0,45.0,45.0,8.0,8.0,Pelindung Kemasan,bubble wrap,global,hitam,lainnya,lainnya,bubble_wrap,1
bubble wrap global hitam 3.2kg 30 cm x 100 meter,4.0,0.0,2,4.0,4.0,11.459946362768662,11.459946362768662,3.178,3.178,0.0,0.0,0.0,0.0,29.310000000000002,29.310000000000002,96.33500000000001,96.33500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.25,30.25,99.38,99.38,0.0,0.0,0.0,0.0,1.0,1.0,48.0,48.0,10.0,10.0,Pelindung Kemasan,bubble wrap,global,hitam,lainnya,lainnya,bubble_wrap,1
bubble wrap global hitam 3.2kg 30 cm x 50 meter,4.0,0.0,1,4.0,4.0,11.33261388681514,11.33261388681514,3.2,3.2,0.0,0.0,0.0,0.0,30.0,30.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,47.0,47.0,10.0,10.0,Pelindung Kemasan,bubble wrap,global,hitam,lainnya,lainnya,bubble_wrap,1
bubble wrap global hitam 3.2kg 30 cmx50 meter,4.0,0.0,1,4.0,4.0,11.335754,11.335754,3.202,3.202,0.0,0.0,0.0,0.0,30.26,30.26,46.05,46.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.12,28.12,49.1,49.1,0.0,0.0,0.0,0.0,1.0,1.0,45.0,45.0,8.0,8.0,Pelindung Kemasan,bubble wrap,global,hitam,lainnya,lainnya,bubble_wrap,1
bubble wrap global hitam 3.2kg 60 cm x 100 meter,4.214285714285714,0.48795003647426677,7,3.5,4.5,11.444808390161445,11.421554,3.3475714285714284,3.45,0.0,0.0,0.0,0.0,59.558571428571426,59.97,101.38,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.33,60.0,103.70714285714287,104.28,0.0,0.0,0.0,0.0,1.0,1.0,48.0,48.0,10.0,10.0,Pelindung Kemasan,bubble wrap,global,hitam,lainnya,lainnya,bubble_wrap,0
bubble wrap global hitam 3.2kg 60 cm x 25 meter,3.5,0.0,2,3.5,3.5,11.359079346730717,11.359079346730717,3.2625,3.2625,0.0,0.0,0.0,0.0,60.95,60.95,24.54,24.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.120000000000005,60.120000000000005,25.6,25.6,0.0,0.0,0.0,0.0,1.0,1.0,47.0,47.0,10.0,10.0,Pelindung Kemasan,bubble wrap,global,hitam,lainnya,lainnya,bubble_wrap,1
bubble wrap global hitam 3.2kg 60 cmx25 meter,3.5,0.0,1,3.5,3.5,11.390952,11.390952,3.468,3.468,0.0,0.0,0.0,0.0,64.05,64.05,24.22,24.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,57.0,25.26,25.26,0.0,0.0,0.0,0.0,1.0,1.0,45.0,45.0,8.0,8.0,Pelindung Kemasan,bubble wrap,global,hitam,lainnya,lainnya,bubble_wrap,1
bubble wrap global hitam 3.2kg 60cm x 100 meter,4.5,0.0,1,4.5,4.5,11.38205,11.38205,3.348,3.348,0.0,0.0,0.0,0.0,57.97,57.97,105.6,105.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.18,64.18,94.32,94.32,0.0,0.0,0.0,0.0,1.0,1.0,47.0,47.0,9.0,9.0,Pelindung Kemasan,bubble wrap,global,hitam,lainnya,lainnya,bubble_wrap,1
bubble wrap gmp bening 2.2kg 125 cm x 25 meter,4.5,0.0,5,4.5,4.5,11.224568537164682,11.217691,2.1878,2.2,0.0,0.0,0.0,0.0,123.68199999999999,125.0,24.072,23.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.806,125.0,25.366,25.0,0.0,0.0,0.0,0.0,1.0,1.0,46.0,46.0,10.0,10.0,Pelindung Kemasan,bubble wrap,gmp,bening,lainnya,lainnya,bubble_wrap,0
bubble wrap gmp bening 2.2kg 125 cm x 50 meter,4.0,0.0,4,4.0,4.0,11.287921471422436,11.293742442844874,2.18375,2.1705,0.0,0.0,0.0,0.0,127.41749999999999,126.425,51.457499999999996,51.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.91,122.47,50.6025,49.989999999999995,0.0,0.0,0.0,0.0,1.0,1.0,46.0,46.0,10.0,10.0,Pelindung Kemasan,bubble wrap,gmp,bening,lainnya,lainnya,bubble_wrap,0
bubble wrap gmp bening 2.2kg 125 cmx25 meter,4.5,0.0,1,4.5,4.5,11.369874,11.369874,2.136,2.136,0.0,0.0,0.0,0.0,121.67,121.67,24.57,24.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.49,127.49,24.97,24.97,0.0,0.0,0.0,0.0,1.0,1.0,44.0,44.0,8.0,8.0,Pelindung Kemasan,bubble wrap,gmp,bening,lainnya,lainnya,bubble_wrap,1
bubble wrap gmp bening 2.2kg 125 cmx50 meter,4.0,0.0,1,4.0,4.0,11.242872,11.242872,2.121,2.121,0.0,0.0,0.0,0.0,133.5,133.5,47.49,47.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.59,125.59,46.27,46.27,0.0,0.0,0.0,0.0,1.0,1.0,44.0,44.0,8.0,8.0,Pelindung Kemasan,bubble wrap,gmp,bening,lainnya,lainnya,bubble_wrap,1
bubble wrap gmp bening 2.2kg 30 cm x 100 meter,4.0,0.0,4,4.0,4.0,11.409587087690722,11.418826,2.12575,2.1365,0.0,0.0,0.0,0.0,29.7675,30.105,101.2775,101.985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.747500000000002,30.805,98.83,97.515,0.0,0.0,0.0,0.0,1.0,1.0,46.0,46.0,10.0,10.0,Pelindung Kemasan,bubble wrap,gmp,bening,lainnya,lainnya,bubble_wrap,0
bubble wrap gmp bening 2.4kg 125 cm x 25 meter,4.5,0.0,5,4.5,4.5,11.229890177121703,11.259166,2.4594,2.446,0.0,0.0,0.0,0.0,125.00399999999999,125.0,24.738,24.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.28799999999998,125.0,25.056,25.0,0.0,0.0,0.0,0.0,1.0,1.0,46.0,46.0,10.0,10.0,Pelindung Kemasan,bubble wrap,gmp,bening,lainnya,lainnya,bubble_wrap,0
bubble wrap gmp bening 2.4kg 125 cm x 50 meter,4.5,0.0,4,4.5,4.5,11.357311392273083,11.367913999999999,2.39725,2.4154999999999998,0.0,0.0,0.0,0.0,119.2225,117.66,52.6175,53.269999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.3925,124.435,50.09,50.510000000000005,0.0,0.0,0.0,0.0,1.0,1.0,46.0,46.0,10.0,10.0,Pelindung Kemasan,bubble wrap,gmp,bening,lainnya,lainnya,bubble_wrap,0
bubble wrap gmp bening 2.4kg 125 cmx25 meter,4.5,0.0,1,4.5,4.5,11.305028,11.305028,2.446,2.446,0.0,0.0,0.0,0.0,130.19,130.19,25.06,25.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.41,115.41,26.92,26.92,0.0,0.0,0.0,0.0,1.0,1.0,44.0,44.0,8.0,8.0,Pelindung Kemasan,bubble wrap,gmp,bening,lainnya,lainnya,bubble_wrap,1
bubble wrap gmp bening 2.4kg 125 cmx50 meter,4.5,0.0,1,4.5,4.5,11.394735,11.394735,2.501,2.501,0.0,0.0,0.0,0.0,133.1,133.1,48.73,48.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95,119.95,52.49,52.49,0.0,0.0,0.0,0.0,1.0,1.0,44.0,44.0,8.0,8.0,Pelindung Kemasan,bubble wrap,gmp,bening,lainnya,lainnya,bubble_wrap,1
bubble wrap gmp bening 2.4kg 30 cm x 25 meter,4.5,0.0,2,4.5,4.5,11.127469844341185,11.127469844341185,2.3499999999999996,2.3499999999999996,0.0,0.0,0.0,0.0,29.84,29.84,24.82,24.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.384999999999998,30.384999999999998,25.884999999999998,25.884999999999998,0.0,0.0,0.0,0.0,1.0,1.0,45.0,45.0,10.0,10.0,Pelindung Kemasan,bubble wrap,gmp,bening,lainnya,lainnya,bubble_wrap,1
