Kategori Produk,Review,Family_Template,jenis_produk,merek,warna,material,bentuk_kemasan,log_harga,is_non_brand,berat_kg,tebal_mm,jumlah_lembar,ukuran_cm,panjang_meter,yard,box_panjang_cm,box_lebar_cm,box_tinggi_cm,log_volume_box_cm3,lebar_cm_roll,panjang_meter_roll,lebar_pair_yard,panjang_yard_pair,is_bflute,is_cflute,is_foam,is_kraft,jumlah_dimensi_x,panjang_nama,jumlah_token,Nama_Produk_Normalized,Split_Grouped
Pelindung Kemasan,3.0,bubble_wrap,bubble wrap,sanpack,hitam,lainnya,lainnya,11.283524879179666,0,2.7,0.0,0.0,125.0,25.0,0.0,0.0,0.0,0.0,0.0,125.0,25.0,0.0,0.0,0,0,0,0,1,49,10,bubble wrap sanpack hitam 2.7kg 125 cm x 25 meter,validation
Perlengkapan Rumah,2.5,laundry_pp,plastik,lainnya,lainnya,pp,lainnya,9.274213,0,0.0,0.0,0.0,35.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,40,9,kantong plastik laundry pp 35 cm x 55 cm,train
Perlengkapan Rumah,4.5,laundry_pp,plastik,lainnya,lainnya,pp,lainnya,8.526788,0,0.0,0.0,0.0,31.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,40,9,kantong plastik laundry pp 30 cm x 50 cm,train
Pelindung Kemasan,4.0,bubble_wrap,bubble wrap,upack,bening,lainnya,lainnya,11.451060699493429,0,3.0,0.0,0.0,125.0,50.0,0.0,0.0,0.0,0.0,0.0,125.0,50.0,0.0,0.0,0,0,0,0,1,48,10,bubble wrap upack bening 3.0kg 125 cm x 50 meter,train
Pelindung Kemasan,3.0,bubble_wrap,bubble wrap,sanpack,bening,lainnya,lainnya,11.393621,0,2.013,0.0,0.0,32.19,95.64,0.0,0.0,0.0,0.0,0.0,28.47,103.82,0.0,0.0,0,0,0,0,1,50,10,bubble wrap sanpack bening 2.2kg 30 cm x 100 meter,train
Label,3.0,label_thermal,thermal,lainnya,lainnya,thermal,lembar,10.389026137075234,0,0.0,80.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,43,10,thermal unboxing 80 mm x 80 mm x 500 lembar,train
Alat Pengemasan,3.0,tools,cutter,joyko,lainnya,lainnya,lainnya,8.648396877031582,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,27,5,isi cutter besar joyko l150,train
Kemasan Pengiriman,3.5,polymailer,plastik,lainnya,putih,lainnya,lainnya,9.434236,0,0.0,0.0,0.0,30.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,38,8,plastik polymailer putih 30 cm x 40 cm,train
Perekat,2.5,double_tape,pe foam,non brand,lainnya,foam,lainnya,10.415815,1,0.0,12.18,0.0,0.0,15.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,43,10,double tape foam non brand 12 mm x 15 meter,train
Label,4.0,label_thermal,thermal,lainnya,lainnya,thermal,lembar,10.722583,0,0.0,63.26,922.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,39,7,sticker thermal 60 mmx40 mm 1000 lembar,train
Perekat,3.0,lakban,lakban,smilepack,biru,lainnya,lainnya,8.81001204797317,0,0.0,45.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,65.0,0,0,0,0,1,37,8,lakban smilepack biru 45 mm x 65 yard,validation
Perekat,4.0,lakban,lakban,yatta,merah,lainnya,lainnya,8.787163,0,0.0,48.14,0.0,0.0,0.0,49.41,0.0,0.0,0.0,0.0,0.0,0.0,48.57,52.6,0,0,0,0,1,34,8,lakban yatta merah 48 mm x 50 yard,train
Alat Pengemasan,4.5,tools,cutter,joyko,lainnya,lainnya,lainnya,8.978469,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,23,4,cutter besar joyko l500,train
Alat Pengemasan,3.0,tools,cutter,deli,lainnya,lainnya,lainnya,9.711176264112805,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,22,4,cutter besar deli l150,train
Kemasan Pengiriman,2.5,polymailer,plastik,lainnya,silver,lainnya,lainnya,9.321466,0,0.0,0.0,0.0,25.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,39,8,plastik polymailer silver 25 cm x 35 cm,train
Kardus Kemasan,3.0,kardus,kardus,lainnya,lainnya,bflute,lainnya,8.251429,0,0.0,0.0,0.0,30.9,0.0,0.0,29.31,19.4,9.99,8.644962,0.0,0.0,0.0,0.0,1,0,0,0,2,43,11,kardus packing 30 cm x 20 cm x 10 cm bflute,train
Material Busa,4.0,pe_foam,pe foam,lainnya,lainnya,foam,lainnya,12.20775,0,0.0,1.05,0.0,115.3,231.03,0.0,0.0,0.0,0.0,0.0,132.2,248.9,0.0,0.0,0,0,1,0,2,29,6,pe foam 125 cmx250 meterx1 mm,train
Alat Pengemasan,4.0,tools,lakban,deli,lainnya,lainnya,lainnya,9.892928,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,21,3,dispenser lakban deli,train
Kardus Kemasan,3.0,kardus,kardus,lainnya,lainnya,cflute,lainnya,7.8636512654486515,0,0.0,0.0,0.0,30.0,0.0,0.0,30.0,25.0,20.0,9.61587214452889,0.0,0.0,0.0,0.0,0,1,0,0,2,43,11,kardus packing 30 cm x 25 cm x 20 cm cflute,test
Pengikat,2.5,tali_rafia,lainnya,lainnya,hitam,lainnya,lainnya,9.915926,0,1.804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,22,4,tali rafia hitam 1/2kg,train
Kardus Kemasan,3.5,kardus,kardus,lainnya,lainnya,cflute,lainnya,8.648396877031582,0,0.0,0.0,0.0,40.0,0.0,0.0,40.0,30.0,20.0,10.085850775128716,0.0,0.0,0.0,0.0,0,1,0,0,2,43,11,kardus packing 40 cm x 30 cm x 20 cm cflute,train
Perekat,4.0,lakban,lakban,hiro,biru,lainnya,lainnya,9.510519035757246,0,0.0,45.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,120.0,0,0,0,0,1,41,9,lakban fragile biru hiro 45 mm x 120 yard,train
Perlengkapan Rumah,3.5,laundry_pp,plastik,lainnya,lainnya,pp,lainnya,9.15915233520675,0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,40,9,kantong plastik laundry pp 50 cm x 75 cm,train
Perlengkapan Rumah,4.0,trash_bag,plastik,lainnya,hitam,lainnya,lainnya,7.824445930877619,0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,34,8,plastik kresek hitam 20 cm x 40 cm,train
Material Busa,3.5,pe_foam,pe foam,lainnya,lainnya,foam,lainnya,12.545429,0,0.0,1.83,0.0,119.54,266.54,0.0,0.0,0.0,0.0,0.0,127.46,258.33,0.0,0.0,0,0,1,0,2,33,10,pe foam 125 cm x 250 meter x 2 mm,train
Perekat,4.0,double_tape,pe foam,joyko,lainnya,foam,lainnya,10.389026137075234,0,0.0,36.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,39,9,double tape foam joyko 36 mm x 10 meter,train
Kemasan Fleksibel,3.0,wrapping,wrapping,lainnya,hitam,lainnya,lainnya,10.02232,0,0.0,0.0,0.0,27.96,145.6,0.0,0.0,0.0,0.0,0.0,29.99,140.78,0.0,0.0,0,0,0,0,1,32,7,wrapping hitam 30 cm x 150 meter,train
Label,3.5,label_thermal,thermal,lainnya,lainnya,thermal,lembar,10.365033,0,0.0,93.93,341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,45,10,thermal unboxing 100 mm x 100 mm x 300 lembar,train
Peralatan Industri,3.0,plastik_hdpe,plastik hd,lainnya,lainnya,hd,lainnya,7.069758,0,0.0,0.0,0.0,31.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,24,7,plastik hd 30 cm x 40 cm,train
Kemasan Pengiriman,2.0,polymailer,plastik,lainnya,hitam,lainnya,lainnya,9.479387,0,0.0,0.0,0.0,26.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,38,8,plastik polymailer hitam 25 cm x 35 cm,train
Perekat,3.0,double_tape,pe foam,deli,lainnya,foam,lainnya,9.726834,0,0.0,23.63,0.0,0.0,3.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,37,9,double tape foam deli 24 mm x 3 meter,train
Perekat,3.5,lakban,lakban,smilepack,merah,lainnya,lainnya,9.272962,0,0.0,44.89,0.0,0.0,0.0,103.9,0.0,0.0,0.0,0.0,0.0,0.0,42.87,95.01,0,0,0,0,1,39,8,lakban smilepack merah 45 mm x 100 yard,train
Perlengkapan Rumah,4.0,laundry_pp,plastik,lainnya,lainnya,pp,lainnya,9.440677,0,0.0,0.0,0.0,48.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,40,9,kantong plastik laundry pp 50 cm x 75 cm,train
Peralatan Industri,3.0,plastik_hdpe,plastik hd,lainnya,lainnya,hd,lainnya,8.754394,0,0.0,0.0,0.0,30.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,24,7,plastik hd 30 cm x 40 cm,train
Perlengkapan Rumah,3.0,laundry_pp,plastik,lainnya,lainnya,pp,lainnya,9.496675,0,0.0,0.0,0.0,37.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,40,9,kantong plastik laundry pp 40 cm x 60 cm,train
Material Busa,4.0,pe_foam,pe foam,lainnya,lainnya,foam,lainnya,12.476103599529845,0,0.0,2.0,0.0,125.0,250.0,0.0,0.0,0.0,0.0,0.0,125.0,250.0,0.0,0.0,0,0,1,0,2,33,10,pe foam 125 cm x 250 meter x 2 mm,train
Perekat,3.5,lakban,lakban,smilepack,coklat,lainnya,lainnya,9.148571345578551,0,0.0,48.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,80.0,0,0,0,0,1,39,8,lakban smilepack coklat 48 mm x 80 yard,train
Alat Pengemasan,3.0,tools,cutter,deli,lainnya,lainnya,lainnya,9.90353755128617,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,16,3,tape cutter deli,test
Pengikat,4.5,tali_rafia,lainnya,lainnya,merah,lainnya,lainnya,9.7963,0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,20,4,tali rafia merah 1kg,train
Perlengkapan Rumah,3.0,laundry_pp,plastik,lainnya,lainnya,pp,lainnya,9.52486,0,0.0,0.0,0.0,48.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,40,9,kantong plastik laundry pp 45 cm x 65 cm,train
Material Busa,4.0,pe_foam,pe foam,lainnya,lainnya,foam,lainnya,13.02033286667615,0,0.0,4.0,0.0,125.0,250.0,0.0,0.0,0.0,0.0,0.0,125.0,250.0,0.0,0.0,0,0,1,0,2,33,10,pe foam 125 cm x 250 meter x 4 mm,train
Perekat,3.5,lakban,lakban,joyko,coklat,lainnya,lainnya,8.648396877031582,0,0.0,45.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,70.0,0,0,0,0,1,35,8,lakban joyko coklat 45 mm x 70 yard,train
Kardus Kemasan,4.0,kardus,kardus,lainnya,lainnya,lainnya,lainnya,11.542493975902508,0,10.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,31,6,kardus singleface 160 cm x 10kg,train
